genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
,https://api.spotify.com/v1/artists/2n6CVwo43YvjiTgcPxYWrf,2n6CVwo43YvjiTgcPxYWrf,,ATL,51,artist,spotify:artist:2n6CVwo43YvjiTgcPxYWrf,https://open.spotify.com/artist/2n6CVwo43YvjiTgcPxYWrf,NA,372110
,https://api.spotify.com/v1/artists/4h8pGxEIOi7j4me1yhYxlD,4h8pGxEIOi7j4me1yhYxlD,,LSP,57,artist,spotify:artist:4h8pGxEIOi7j4me1yhYxlD,https://open.spotify.com/artist/4h8pGxEIOi7j4me1yhYxlD,NA,825144
,https://api.spotify.com/v1/artists/7HeYTVt0Fg6lYEpmoeP67s,7HeYTVt0Fg6lYEpmoeP67s,,Thomas Mraz,43,artist,spotify:artist:7HeYTVt0Fg6lYEpmoeP67s,https://open.spotify.com/artist/7HeYTVt0Fg6lYEpmoeP67s,NA,167830
,https://api.spotify.com/v1/artists/4DCHl7YS8J9pe2THEUvarN,4DCHl7YS8J9pe2THEUvarN,,Truwer,50,artist,spotify:artist:4DCHl7YS8J9pe2THEUvarN,https://open.spotify.com/artist/4DCHl7YS8J9pe2THEUvarN,NA,209888
,https://api.spotify.com/v1/artists/01lZudgXsojt5TBHuygB8r,01lZudgXsojt5TBHuygB8r,,T-Fest,53,artist,spotify:artist:01lZudgXsojt5TBHuygB8r,https://open.spotify.com/artist/01lZudgXsojt5TBHuygB8r,NA,646105
,https://api.spotify.com/v1/artists/7gmUEqRjXK144s5jQMVc8c,7gmUEqRjXK144s5jQMVc8c,,Yanix,54,artist,spotify:artist:7gmUEqRjXK144s5jQMVc8c,https://open.spotify.com/artist/7gmUEqRjXK144s5jQMVc8c,NA,356491
,https://api.spotify.com/v1/artists/1hwKCeSXpLrh4OQND6iQHw,1hwKCeSXpLrh4OQND6iQHw,,OBLADAET,53,artist,spotify:artist:1hwKCeSXpLrh4OQND6iQHw,https://open.spotify.com/artist/1hwKCeSXpLrh4OQND6iQHw,NA,345818
,https://api.spotify.com/v1/artists/5NipqMGsY4AUeb7kGT8aVz,5NipqMGsY4AUeb7kGT8aVz,,kizaru,62,artist,spotify:artist:5NipqMGsY4AUeb7kGT8aVz,https://open.spotify.com/artist/5NipqMGsY4AUeb7kGT8aVz,NA,1137288
,https://api.spotify.com/v1/artists/2z20q6EEfm6w6PiIKsgtb3,2z20q6EEfm6w6PiIKsgtb3,,FACE,61,artist,spotify:artist:2z20q6EEfm6w6PiIKsgtb3,https://open.spotify.com/artist/2z20q6EEfm6w6PiIKsgtb3,NA,966479
,https://api.spotify.com/v1/artists/2nAUHbKI7TZShUwFpk6G08,2nAUHbKI7TZShUwFpk6G08,,Husky,49,artist,spotify:artist:2nAUHbKI7TZShUwFpk6G08,https://open.spotify.com/artist/2nAUHbKI7TZShUwFpk6G08,NA,276173
,https://api.spotify.com/v1/artists/3Vfd5HJnhjnvdyuQYHtYa2,3Vfd5HJnhjnvdyuQYHtYa2,,Markul,56,artist,spotify:artist:3Vfd5HJnhjnvdyuQYHtYa2,https://open.spotify.com/artist/3Vfd5HJnhjnvdyuQYHtYa2,NA,341099
,https://api.spotify.com/v1/artists/16ZNqMkDZrzd8fTXeN2kUH,16ZNqMkDZrzd8fTXeN2kUH,,Mnogoznaal,49,artist,spotify:artist:16ZNqMkDZrzd8fTXeN2kUH,https://open.spotify.com/artist/16ZNqMkDZrzd8fTXeN2kUH,NA,244725
,https://api.spotify.com/v1/artists/5meD8C7oGK5yUEY2T7ZZ7W,5meD8C7oGK5yUEY2T7ZZ7W,,Max Korzh,60,artist,spotify:artist:5meD8C7oGK5yUEY2T7ZZ7W,https://open.spotify.com/artist/5meD8C7oGK5yUEY2T7ZZ7W,NA,1712069
,https://api.spotify.com/v1/artists/43cTNOHTq4t7YzHyttQxNf,43cTNOHTq4t7YzHyttQxNf,,V $ X V PRiNCE,55,artist,spotify:artist:43cTNOHTq4t7YzHyttQxNf,https://open.spotify.com/artist/43cTNOHTq4t7YzHyttQxNf,NA,384782
,https://api.spotify.com/v1/artists/3IwaLzOzILWyMzjXFWiDbW,3IwaLzOzILWyMzjXFWiDbW,,JEEMBO,48,artist,spotify:artist:3IwaLzOzILWyMzjXFWiDbW,https://open.spotify.com/artist/3IwaLzOzILWyMzjXFWiDbW,NA,176841
,https://api.spotify.com/v1/artists/4QwXKmGPo7GsU3N8LJykki,4QwXKmGPo7GsU3N8LJykki,,Pika,45,artist,spotify:artist:4QwXKmGPo7GsU3N8LJykki,https://open.spotify.com/artist/4QwXKmGPo7GsU3N8LJykki,NA,45246
,https://api.spotify.com/v1/artists/5NMwoStnfHT4LdETlJSwDT,5NMwoStnfHT4LdETlJSwDT,,Big Baby Tape,61,artist,spotify:artist:5NMwoStnfHT4LdETlJSwDT,https://open.spotify.com/artist/5NMwoStnfHT4LdETlJSwDT,NA,1060256
,https://api.spotify.com/v1/artists/1gCOYbJNUa1LBVO5rlx0jB,1gCOYbJNUa1LBVO5rlx0jB,,Oxxxymiron,57,artist,spotify:artist:1gCOYbJNUa1LBVO5rlx0jB,https://open.spotify.com/artist/1gCOYbJNUa1LBVO5rlx0jB,NA,535912
,https://api.spotify.com/v1/artists/4czIzL9okaRTTUoI8KFB9v,4czIzL9okaRTTUoI8KFB9v,,JILLZAY,41,artist,spotify:artist:4czIzL9okaRTTUoI8KFB9v,https://open.spotify.com/artist/4czIzL9okaRTTUoI8KFB9v,NA,88365
,https://api.spotify.com/v1/artists/3misL6JBwo2ozOQh3OTDPw,3misL6JBwo2ozOQh3OTDPw,,M'Dee,43,artist,spotify:artist:3misL6JBwo2ozOQh3OTDPw,https://open.spotify.com/artist/3misL6JBwo2ozOQh3OTDPw,NA,98621
